key_mmdd,year,iso_date,fact_domain,fact_category,fact_tags,title,byline,role,work_type,summary_template,source_url,source_system,source_id,country,language,extra,used_on,use_count,added_on
01-01,2011,2011-01-01,arts,song,chart_entry,6 Foot 7 Foot,Lil Wayne featuring Cory Gunz,artist,song,"On this day in 2011, ""6 Foot 7 Foot"" by Lil Wayne featuring Cory Gunz entered the US Top 10. It went on to reach #9.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2011,songs_top10_us,,US,en,chart=US Top 10;release_date=2010-12-16;entry_date=2011-01-01;peak_date=2011-01-01;peak_position=9.0;date_source=wikidata:P577,,0,2025-11-21
01-01,2013,2013-01-01,arts,song,release,Liar,Three Dog Night,artist,song,"On this day in 2013, ""Liar"" by Three Dog Night was released. It later reached #7.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1971,songs_top10_us,,US,en,chart=US Top 10;release_date=2013-01-01;entry_date=1971-08-21;peak_date=1971-08-28;peak_position=7.0;date_source=infobox:released,,0,2025-11-21
01-02,1965,1965-01-02,arts,song,chart_entry,Amen,The Impressions,artist,song,"On this day in 1965, ""Amen"" by The Impressions entered the US Top 10. It went on to reach #7.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1965,songs_top10_us,,US,en,chart=US Top 10;entry_date=1965-01-02;peak_date=1965-01-09;peak_position=7.0,,0,2025-11-21
01-02,1965,1965-01-02,arts,song,chart_entry,Love Potion No. 9,The Searchers,artist,song,"On this day in 1965, ""Love Potion No. 9"" by The Searchers entered the US Top 10. It went on to reach #3.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1965,songs_top10_us,,US,en,chart=US Top 10;entry_date=1965-01-02;peak_date=1965-01-16;peak_position=3.0,,0,2025-11-21
01-02,1965,1965-01-02,arts,song,chart_entry,The Wedding,Julie Rogers,artist,song,"On this day in 1965, ""The Wedding"" by Julie Rogers entered the US Top 10. It went on to reach #10.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1965,songs_top10_us,,US,en,chart=US Top 10;entry_date=1965-01-02;peak_date=1965-01-02;peak_position=10.0,,0,2025-11-21
01-02,1971,1971-01-02,arts,song,chart_entry,Domino,Van Morrison,artist,song,"On this day in 1971, ""Domino"" by Van Morrison entered the US Top 10. It went on to reach #9.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1971,songs_top10_us,,US,en,chart=US Top 10;entry_date=1971-01-02;peak_date=1971-01-02;peak_position=9.0,,0,2025-11-21
01-02,1999,1999-01-02,arts,song,chart_entry,Trippin,Total featuring Missy Elliott,artist,song,"On this day in 1999, ""Trippin"" by Total featuring Missy Elliott entered the US Top 10. It went on to reach #7.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1999,songs_top10_us,,US,en,chart=US Top 10;entry_date=1999-01-02;peak_date=1999-01-09;peak_position=7.0,,0,2025-11-21
01-02,2009,2009-01-02,arts,song,no1,Tik Tok,Kesha,artist,song,"On this day in 2009, ""Tik Tok"" by Kesha hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2009,songs_top10_us,,US,en,chart=US Top 10;release_date=2016-09;entry_date=2009-11-28;peak_date=2009-01-02;peak_position=1.0;date_source=wikidata:P577,,0,2025-11-21
01-03,1969,1969-01-03,arts,song,no1,Raindrops Keep Fallin' on My Head,B. J. Thomas,artist,song,"On this day in 1969, ""Raindrops Keep Fallin' on My Head"" by B. J. Thomas hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1969,songs_top10_us,,US,en,chart=US Top 10;release_date=1969-10;entry_date=1969-12-13;peak_date=1969-01-03;peak_position=1.0;date_source=wikidata:P577,,0,2025-11-21
01-03,1970,1970-01-03,arts,song,chart_entry,La La La (If I Had You),Bobby Sherman,artist,song,"On this day in 1970, ""La La La (If I Had You)"" by Bobby Sherman entered the US Top 10. It went on to reach #9.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1970,songs_top10_us,,US,en,chart=US Top 10;release_date=1969-11;entry_date=1970-01-03;peak_date=1970-01-10;peak_position=9.0;date_source=wikitext:released,,0,2025-11-21
01-03,1975,1975-01-03,arts,song,no1,Saturday Night,Bay City Rollers,artist,song,"On this day in 1975, ""Saturday Night"" by Bay City Rollers hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1975,songs_top10_us,,US,en,chart=US Top 10;entry_date=1975-12-06;peak_date=1975-01-03;peak_position=1.0,,0,2025-11-21
01-03,1984,1984-01-03,arts,song,release,I Want a New Drug,Huey Lewis and the News,artist,song,"On this day in 1984, ""I Want a New Drug"" by Huey Lewis and the News was released. It later reached #6.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1984,songs_top10_us,,US,en,chart=US Top 10;release_date=1984-01-03;entry_date=1984-03-03;peak_date=1984-03-24;peak_position=6.0;date_source=wikidata:P577,,0,2025-11-21
01-03,1989,1989-01-03,arts,song,release,You Got It,Roy Orbison,artist,song,"On this day in 1989, ""You Got It"" by Roy Orbison was released. It later reached #9.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1989,songs_top10_us,,US,en,chart=US Top 10;release_date=1989-01-03;entry_date=1989-04-15;peak_date=1989-04-15;peak_position=9.0;date_source=wikitext:released,,0,2025-11-21
01-03,1998,1998-01-03,arts,song,chart_entry,A Song for Mama,Boyz II Men,artist,song,"On this day in 1998, ""A Song for Mama"" by Boyz II Men entered the US Top 10. It went on to reach #7.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1998,songs_top10_us,,US,en,chart=US Top 10;release_date=1997-11-11;entry_date=1998-01-03;peak_date=1998-02-14;peak_position=7.0;date_source=wikidata:P577,,0,2025-11-21
01-03,2004,2004-01-03,arts,song,chart_entry,"Me, Myself and I",Beyoncé,artist,song,"On this day in 2004, ""Me, Myself and I"" by Beyoncé entered the US Top 10. It went on to reach #4.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2004,songs_top10_us,,US,en,chart=US Top 10;entry_date=2004-01-03;peak_date=2004-02-21;peak_position=4.0,,0,2025-11-21
01-03,2009,2009-01-03,arts,song,release,Dead and Gone,T.I. featuring Justin Timberlake,artist,song,"On this day in 2009, ""Dead and Gone"" by T.I. featuring Justin Timberlake was released. It later reached #2.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2009,songs_top10_us,,US,en,chart=US Top 10;release_date=2009-01-03;entry_date=2009-02-21;peak_date=2009-02-28;peak_position=2.0;date_source=wikidata:P577,,0,2025-11-21
01-04,1959,1959-01-04,arts,song,no1,El Paso,Marty Robbins,artist,song,"On this day in 1959, ""El Paso"" by Marty Robbins hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,songs_top10_us,,US,en,chart=US Top 10;release_date=1680;entry_date=1959-12-21;peak_date=1959-01-04;peak_position=1.0;date_source=wikitext:released,,0,2025-11-21
01-04,1960,1960-01-04,arts,song,chart_entry,"Go, Jimmy, Go",Jimmy Clanton,artist,song,"On this day in 1960, ""Go, Jimmy, Go"" by Jimmy Clanton entered the US Top 10. It went on to reach #5.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1960,songs_top10_us,,US,en,chart=US Top 10;release_date=1959-11;entry_date=1960-01-04;peak_date=1960-02-01;peak_position=5.0;date_source=wikitext:released,,0,2025-11-21
01-04,1963,1963-01-04,arts,song,release,Blame It on the Bossa Nova,Eydie Gormé,artist,song,"On this day in 1963, ""Blame It on the Bossa Nova"" by Eydie Gormé was released. It later reached #7.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1963,songs_top10_us,,US,en,chart=US Top 10;release_date=1963-01-04;entry_date=1963-02-23;peak_date=1963-03-02;peak_position=7.0;date_source=wikidata:P577,,0,2025-11-21
01-04,1963,1963-01-04,arts,song,no1,There! I've Said It Again,Bobby Vinton,artist,song,"On this day in 1963, ""There! I've Said It Again"" by Bobby Vinton hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1963,songs_top10_us,,US,en,chart=US Top 10;release_date=1941-12-18;entry_date=1963-12-14;peak_date=1963-01-04;peak_position=1.0;date_source=wikidata:P577,,0,2025-11-21
01-04,1963,1963-01-04,arts,song,release,What Will My Mary Say,Johnny Mathis,artist,song,"On this day in 1963, ""What Will My Mary Say"" by Johnny Mathis was released. It later reached #9.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1963,songs_top10_us,,US,en,chart=US Top 10;release_date=1963-01-04;entry_date=1963-03-02;peak_date=1963-03-09;peak_position=9.0;date_source=wikitext:released,,0,2025-11-21
01-04,1964,1964-01-04,arts,song,chart_entry,Midnight Mary,Joey Powers,artist,song,"On this day in 1964, ""Midnight Mary"" by Joey Powers entered the US Top 10. It went on to reach #10.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1964,songs_top10_us,,US,en,chart=US Top 10;release_date=1933;entry_date=1964-01-04;peak_date=1964-01-04;peak_position=10.0;date_source=wikidata:P577,,0,2025-11-21
01-04,1964,1964-01-04,arts,song,chart_entry,Quicksand,Martha and the Vandellas,artist,song,"On this day in 1964, ""Quicksand"" by Martha and the Vandellas entered the US Top 10. It went on to reach #8.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1964,songs_top10_us,,US,en,chart=US Top 10;entry_date=1964-01-04;peak_date=1964-01-04;peak_position=8.0,,0,2025-11-21
01-04,1964,1964-01-04,arts,song,chart_entry,The Nitty Gritty,Shirley Ellis,artist,song,"On this day in 1964, ""The Nitty Gritty"" by Shirley Ellis entered the US Top 10. It went on to reach #8.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1964,songs_top10_us,,US,en,chart=US Top 10;entry_date=1964-01-04;peak_date=1964-01-11;peak_position=8.0,,0,2025-11-21
01-04,1969,1969-01-04,arts,song,chart_entry,Hooked on a Feeling,B. J. Thomas,artist,song,"On this day in 1969, ""Hooked on a Feeling"" by B. J. Thomas entered the US Top 10. It went on to reach #5.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1969,songs_top10_us,,US,en,chart=US Top 10;entry_date=1969-01-04;peak_date=1969-01-11;peak_position=5.0,,0,2025-11-21
01-04,1969,1969-01-04,arts,song,chart_entry,Soulful Strut,Young-Holt Unlimited,artist,song,"On this day in 1969, ""Soulful Strut"" by Young-Holt Unlimited entered the US Top 10. It went on to reach #3.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1969,songs_top10_us,,US,en,chart=US Top 10;release_date=1969-02;entry_date=1969-01-04;peak_date=1969-01-18;peak_position=3.0;date_source=wikidata:P577,,0,2025-11-21
01-04,1974,1974-01-04,arts,song,no1,Lucy in the Sky with Diamonds,Elton John,artist,song,"On this day in 1974, ""Lucy in the Sky with Diamonds"" by Elton John hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1974,songs_top10_us,,US,en,chart=US Top 10;release_date=1967-05-26;entry_date=1974-12-14;peak_date=1974-01-04;peak_position=1.0;date_source=wikitext:released,,0,2025-11-21
01-04,1983,1983-01-04,arts,song,release,Separate Ways (Worlds Apart),Journey,artist,song,"On this day in 1983, ""Separate Ways (Worlds Apart)"" by Journey was released. It later reached #8.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1983,songs_top10_us,,US,en,chart=US Top 10;release_date=1983-01-04;entry_date=1983-03-12;peak_date=1983-03-19;peak_position=8.0;date_source=wikitext:released,,0,2025-11-21
01-04,1988,1988-01-04,arts,song,release,Some Kind of Lover,Jody Watley,artist,song,"On this day in 1988, ""Some Kind of Lover"" by Jody Watley was released. It later reached #10.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1988,songs_top10_us,,US,en,chart=US Top 10;release_date=1988-01-04;entry_date=1988-04-16;peak_date=1988-04-16;peak_position=10.0;date_source=wikidata:P577,,0,2025-11-21
01-04,2003,2003-01-04,arts,song,chart_entry,Love of My Life (An Ode to Hip-Hop),Erykah Badu featuring Common,artist,song,"On this day in 2003, ""Love of My Life (An Ode to Hip-Hop)"" by Erykah Badu featuring Common entered the US Top 10. It went on to reach #9.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2003,songs_top10_us,,US,en,chart=US Top 10;release_date=2002-08-20;entry_date=2003-01-04;peak_date=2003-01-04;peak_position=9.0;date_source=wikidata:P577,,0,2025-11-21
01-04,2018,2018-01-04,arts,song,release,All the Stars,Kendrick Lamar and SZA,artist,song,"On this day in 2018, ""All the Stars"" by Kendrick Lamar and SZA was released. It later reached #7.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2018,songs_top10_us,,US,en,chart=US Top 10;release_date=2018-01-04;entry_date=2018-02-24;peak_date=2018-03-03;peak_position=7.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1946,1946-01-05,arts,song,release,Guitar Boogie Shuffle,The Virtues,artist,song,"On this day in 1946, ""Guitar Boogie Shuffle"" by The Virtues was released. It later reached #5.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,songs_top10_us,,US,en,chart=US Top 10;release_date=1946-01-05;entry_date=1959-04-06;peak_date=1959-04-27;peak_position=5.0;date_source=wikitext:released,,0,2025-11-21
01-05,1959,1959-01-05,arts,song,chart_entry,Gotta Travel On,Billy Grammer,artist,song,"On this day in 1959, ""Gotta Travel On"" by Billy Grammer entered the US Top 10. It went on to reach #4.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,songs_top10_us,,US,en,chart=US Top 10;release_date=1958-10;entry_date=1959-01-05;peak_date=1959-01-12;peak_position=4.0;date_source=wikitext:released,,0,2025-11-21
01-05,1959,1959-01-05,arts,song,chart_entry,My Happiness,Connie Francis,artist,song,"On this day in 1959, ""My Happiness"" by Connie Francis entered the US Top 10. It went on to reach #2.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1959,songs_top10_us,,US,en,chart=US Top 10;entry_date=1959-01-05;peak_date=1959-01-19;peak_position=2.0,,0,2025-11-21
01-05,1963,1963-01-05,arts,song,chart_entry,Pepino the Italian Mouse,Lou Monte,artist,song,"On this day in 1963, ""Pepino the Italian Mouse"" by Lou Monte entered the US Top 10. It went on to reach #5.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1963,songs_top10_us,,US,en,chart=US Top 10;release_date=1962;entry_date=1963-01-05;peak_date=1963-01-12;peak_position=5.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1963,1963-01-05,arts,song,chart_entry,Tell Him,The Exciters,artist,song,"On this day in 1963, ""Tell Him"" by The Exciters entered the US Top 10. It went on to reach #4.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1963,songs_top10_us,,US,en,chart=US Top 10;entry_date=1963-01-05;peak_date=1963-01-19;peak_position=4.0,,0,2025-11-21
01-05,1967,1967-01-05,arts,song,release,I Think We're Alone Now,Tommy James and the Shondells,artist,song,"On this day in 1967, ""I Think We're Alone Now"" by Tommy James and the Shondells was released. It later reached #4.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1967,songs_top10_us,,US,en,chart=US Top 10;release_date=1967-01-05;entry_date=1967-04-08;peak_date=1967-04-22;peak_position=4.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1967,1967-01-05,arts,song,release,I Think We're Alone Now,Tiffany,artist,song,"On this day in 1967, ""I Think We're Alone Now"" by Tiffany was released. It later reached #1.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1987,songs_top10_us,,US,en,chart=US Top 10;release_date=1967-01-05;entry_date=1987-10-24;peak_date=1987-11-07;peak_position=1.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1972,1972-01-05,arts,song,release,Hurting Each Other,The Carpenters,artist,song,"On this day in 1972, ""Hurting Each Other"" by The Carpenters was released. It later reached #2.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1972,songs_top10_us,,US,en,chart=US Top 10;release_date=1972-01-05;entry_date=1972-02-05;peak_date=1972-02-26;peak_position=2.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1974,1974-01-05,arts,song,chart_entry,I've Got to Use My Imagination,Gladys Knight & the Pips,artist,song,"On this day in 1974, ""I've Got to Use My Imagination"" by Gladys Knight & the Pips entered the US Top 10. It went on to reach #4.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1974,songs_top10_us,,US,en,chart=US Top 10;release_date=1973-11;entry_date=1974-01-05;peak_date=1974-01-19;peak_position=4.0;date_source=wikitext:released,,0,2025-11-21
01-05,1974,1974-01-05,arts,song,chart_entry,Living for the City,Stevie Wonder,artist,song,"On this day in 1974, ""Living for the City"" by Stevie Wonder entered the US Top 10. It went on to reach #8.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1974,songs_top10_us,,US,en,chart=US Top 10;release_date=1973-11;entry_date=1974-01-05;peak_date=1974-01-12;peak_position=8.0;date_source=wikitext:released,,0,2025-11-21
01-05,1979,1979-01-05,arts,song,no1,Please Don't Go,KC and the Sunshine Band,artist,song,"On this day in 1979, ""Please Don't Go"" by KC and the Sunshine Band hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1979,songs_top10_us,,US,en,chart=US Top 10;entry_date=1979-11-10;peak_date=1979-01-05;peak_position=1.0,,0,2025-11-21
01-05,1980,1980-01-05,arts,song,chart_entry,Coward of the County,Kenny Rogers,artist,song,"On this day in 1980, ""Coward of the County"" by Kenny Rogers entered the US Top 10. It went on to reach #3.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1980,songs_top10_us,,US,en,chart=US Top 10;release_date=1979-11-12;entry_date=1980-01-05;peak_date=1980-01-26;peak_position=3.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1980,1980-01-05,arts,song,chart_entry,We Don't Talk Anymore,Cliff Richard,artist,song,"On this day in 1980, ""We Don't Talk Anymore"" by Cliff Richard entered the US Top 10. It went on to reach #7.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1980,songs_top10_us,,US,en,chart=US Top 10;entry_date=1980-01-05;peak_date=1980-01-19;peak_position=7.0,,0,2025-11-21
01-05,1985,1985-01-05,arts,song,chart_entry,Run to You,Bryan Adams,artist,song,"On this day in 1985, ""Run to You"" by Bryan Adams entered the US Top 10. It went on to reach #6.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1985,songs_top10_us,,US,en,chart=US Top 10;entry_date=1985-01-05;peak_date=1985-01-19;peak_position=6.0,,0,2025-11-21
01-05,1985,1985-01-05,arts,song,chart_entry,You're the Inspiration,Chicago,artist,song,"On this day in 1985, ""You're the Inspiration"" by Chicago entered the US Top 10. It went on to reach #3.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1985,songs_top10_us,,US,en,chart=US Top 10;release_date=1984-10-29;entry_date=1985-01-05;peak_date=1985-01-19;peak_position=3.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1988,1988-01-05,arts,song,release,Endless Summer Nights,Richard Marx,artist,song,"On this day in 1988, ""Endless Summer Nights"" by Richard Marx was released. It later reached #2.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1988,songs_top10_us,,US,en,chart=US Top 10;release_date=1988-01-05;entry_date=1988-03-05;peak_date=1988-03-26;peak_position=2.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1990,1990-01-05,arts,song,no1,Justify My Love,Madonna,artist,song,"On this day in 1990, ""Justify My Love"" by Madonna hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1990,songs_top10_us,,US,en,chart=US Top 10;release_date=1990;entry_date=1990-12-08;peak_date=1990-01-05;peak_position=1.0;date_source=wikidata:P577,,0,2025-11-21
01-05,1991,1991-01-05,arts,song,release,I Like the Way (The Kissing Game),Hi-Five,artist,song,"On this day in 1991, ""I Like the Way (The Kissing Game)"" by Hi-Five was released. It later reached #1.0 on the US charts.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1991,songs_top10_us,,US,en,chart=US Top 10;release_date=1991-01-05;entry_date=1991-04-20;peak_date=1991-05-18;peak_position=1.0;date_source=wikidata:P577,,0,2025-11-21
01-05,2002,2002-01-05,arts,song,chart_entry,A Woman's Worth,Alicia Keys,artist,song,"On this day in 2002, ""A Woman's Worth"" by Alicia Keys entered the US Top 10. It went on to reach #7.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2002,songs_top10_us,,US,en,chart=US Top 10;release_date=2001-10-16;entry_date=2002-01-05;peak_date=2002-02-09;peak_position=7.0;date_source=wikidata:P577,,0,2025-11-21
01-05,2007,2007-01-05,arts,song,no1,Low,Flo Rida featuring T-Pain,artist,song,"On this day in 2007, ""Low"" by Flo Rida featuring T-Pain hit number one on the US Top 10 chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2007,songs_top10_us,,US,en,chart=US Top 10;entry_date=2007-11-24;peak_date=2007-01-05;peak_position=1.0,,0,2025-11-21
01-05,2008,2008-01-05,arts,song,chart_entry,Love Song,Sara Bareilles,artist,song,"On this day in 2008, ""Love Song"" by Sara Bareilles entered the US Top 10. It went on to reach #4.0 on the chart.",https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_2008,songs_top10_us,,US,en,chart=US Top 10;entry_date=2008-01-05;peak_date=2008-03-08;peak_position=4.0,,0,2025-11-21
